team,score0,score1,score2,score3,score4,score5,score6,score7,score8,avg,end_game0,end_game1,end_game2,end_game3,end_game4,end_game5,end_game6,end_game7,end_game8,avg,auto_movement0,auto_movement1,auto_movement2,auto_movement3,auto_movement4,auto_movement5,auto_movement6,auto_movement7,auto_movement8,avg,rank,
1259,-1,-1,-1,-1,-1,-1,-1,0,-1,-0.8888888888888888,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,
171,-1,-1,-1,-1,-1,-1,-1,-1,0,-0.8888888888888888,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,
2052,-1,-1,-1,-1,-1,0,-1,-1,0,-0.7777777777777778,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,
2181,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,
2202,-1,-1,-1,0,-1,-1,-1,-1,-1,-0.8888888888888888,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,
2491,-1,-1,-1,-1,-1,-1,0,-1,-1,-0.8888888888888888,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,
2499,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,
2501,-1,-1,-1,-1,-1,-1,-1,-1,0,-0.8888888888888888,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,
2502,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,
2508,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,
2509,-1,-1,-1,-1,-1,-1,-1,-1,0,-0.8888888888888888,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,
2511,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,
