match_num, red1, red2, red3, blue1, blue2, blue3, red_score, blue_score
1,2499,7311,2499,2989,7530,3692,-1,-1
2,2052,3381,2052,4703,5143,967,-1,-1
3,4624,1259,4624,5434,8422,3026,-1,-1
4,2826,2511,2826,7021,3630,4655,-1,-1
5,2181,4182,2181,4778,7103,5275,-1,-1
6,5232,6819,5232,7619,6574,3054,-1,-1
7,2502,6758,2502,2509,4623,3691,-1,-1
8,2491,2531,2491,4226,4531,6044,-1,-1
9,2987,7038,2987,3212,4229,4656,-1,-1
10,2501,4859,2501,3298,2846,2512,-1,-1
11,2181,5232,2181,6421,967,6147,-1,-1
12,2508,3054,2508,4624,2502,7019,-1,-1
13,7311,6132,7311,2826,3026,2202,-1,-1
14,6819,5434,6819,2491,4656,3630,-1,-1
15,2512,4703,2512,7530,7619,4778,-1,-1
16,6758,3691,6758,1259,2531,2987,-1,-1
17,2499,2989,2499,2511,3298,4531,-1,-1
18,2501,2846,2501,6574,7038,4182,-1,-1
19,5275,8422,5275,5720,4859,3692,-1,-1
20,4229,171,4229,6044,2512,3212,-1,-1
21,3026,6132,3026,6819,4778,2531,-1,-1
22,5143,4655,5143,5232,2202,5434,-1,-1
23,4182,2499,4182,3381,6758,7038,-1,-1
24,4859,4656,4859,4703,3691,2511,-1,-1
25,4229,8422,4229,4623,2501,3054,-1,-1
26,2052,5275,2052,6421,4207,4226,-1,-1
27,3692,2508,3692,2509,6147,3630,-1,-1
28,3298,4624,3298,7311,4531,3212,-1,-1
29,2846,7021,2846,171,2491,2502,-1,-1
30,1259,6044,1259,4656,7019,2202,-1,-1
31,3054,7038,3054,2052,4703,4778,-1,-1
32,6758,2826,6758,2181,3692,3026,-1,-1
33,8422,3212,8422,7103,2531,2499,-1,-1
34,5143,2512,5143,2491,7311,4182,-1,-1
35,6574,4226,6574,6044,2508,3691,-1,-1
36,6132,7019,6132,5434,2502,2846,-1,-1
37,2511,4229,2511,3381,6147,4624,-1,-1
38,4531,1259,4531,171,967,7619,-1,-1
39,4655,6819,4655,5720,6421,3298,-1,-1
40,2987,4182,2987,2826,7021,2052,-1,-1
41,7038,2512,7038,6132,2508,5232,-1,-1
42,4207,6044,4207,6147,3054,6758,-1,-1
43,2509,4226,2509,4656,7103,171,-1,-1
44,7619,3630,7619,2202,2491,3298,-1,-1
45,4229,5720,4229,6574,2499,1259,-1,-1
46,4778,2502,4778,6421,7530,2511,-1,-1
47,4531,3026,4531,5275,7019,7021,-1,-1
48,2989,4655,2989,3692,3212,2501,-1,-1
49,4703,4624,4703,2846,4623,2531,-1,-1
50,3298,5434,3298,4226,4229,2052,-1,-1
51,3630,2202,3630,4182,7530,5720,-1,-1
52,7019,6574,7019,6758,2987,8422,-1,-1
53,7103,3691,7103,7038,2826,4531,-1,-1
54,967,3692,967,3026,3054,2512,-1,-1
55,2511,4207,2511,171,6819,5143,-1,-1
56,3212,6147,3212,5434,5275,2501,-1,-1
57,1259,2181,1259,4624,5232,2846,-1,-1
58,7021,2509,7021,4703,2499,6044,-1,-1
59,4623,7619,4623,4859,4655,2508,-1,-1
60,7530,967,7530,7019,7103,4229,-1,-1
61,3054,2511,3054,6132,5720,6758,-1,-1
62,6147,2826,6147,2846,4778,1259,-1,-1
63,2502,7311,2502,3630,5275,4703,-1,-1
64,6044,3381,6044,3691,3692,6819,-1,-1
65,2531,171,2531,2987,2181,4623,-1,-1
66,5232,3026,5232,2509,2052,2499,-1,-1
67,8422,6421,8422,5143,4656,4182,-1,-1
68,2202,4859,2202,2989,4531,4624,-1,-1
69,2508,7021,2508,4207,2501,3298,-1,-1
70,4623,5434,4623,967,6574,2826,-1,-1
71,3691,4778,3691,4655,2509,7311,-1,-1
72,3026,7103,3026,7619,2987,2511,-1,-1
73,6147,2052,6147,6819,2989,8422,-1,-1
74,2202,171,2202,7019,6758,2508,-1,-1
75,4656,4624,4656,2499,6132,2501,-1,-1
76,4182,2531,4182,5232,3298,4229,-1,-1
77,3054,3630,3054,3381,4531,6421,-1,-1
78,3212,5143,3212,4226,7021,4859,-1,-1
79,2512,5720,2512,4207,2181,2509,-1,-1
80,2501,7619,2501,3691,2052,171,-1,-1
81,3026,3298,3026,7038,2491,6147,-1,-1
82,3692,6421,3692,7103,1259,6132,-1,-1
83,4778,3212,4778,8422,5232,3381,-1,-1
84,2502,4182,2502,4655,4226,2181,-1,-1
85,5720,4656,5720,2531,2989,2826,-1,-1
86,5275,2202,5275,2512,2987,4229,-1,-1
87,967,2511,967,7311,2846,2508,-1,-1
88,4531,5143,4531,7530,6044,6758,-1,-1
89,3630,4778,3630,4859,4207,3026,-1,-1
