team,opr,dpr
1259,0.0,0.0
171,0.0,0.0
2052,0.0,0.0
2181,0.0,0.0
2202,0.0,0.0
2491,0.0,0.0
2499,0.0,0.0
2501,0.0,0.0
2502,0.0,0.0
2508,0.0,0.0
2509,0.0,0.0
2511,0.0,0.0
2512,0.0,0.0
2531,0.0,0.0
2826,0.0,0.0
2846,0.0,0.0
2987,0.0,0.0
2989,0.0,0.0
3026,0.0,0.0
3054,0.0,0.0
3212,0.0,0.0
3298,0.0,0.0
3381,0.0,0.0
3630,0.0,0.0
3691,0.0,0.0
3692,0.0,0.0
4182,0.0,0.0
4207,0.0,0.0
4226,0.0,0.0
4229,0.0,0.0
4531,0.0,0.0
4623,0.0,0.0
4624,0.0,0.0
4655,0.0,0.0
4656,0.0,0.0
4703,0.0,0.0
4778,0.0,0.0
4859,0.0,0.0
5143,0.0,0.0
5232,0.0,0.0
5275,0.0,0.0
5434,0.0,0.0
5720,0.0,0.0
6044,0.0,0.0
6132,0.0,0.0
6147,0.0,0.0
6421,0.0,0.0
6574,0.0,0.0
6758,0.0,0.0
6819,0.0,0.0
7019,0.0,0.0
7021,0.0,0.0
7038,0.0,0.0
7103,0.0,0.0
7311,0.0,0.0
7530,0.0,0.0
7619,0.0,0.0
8422,0.0,0.0
967,0.0,0.0
