match_num, red1, red2, red3, blue1, blue2, blue3, red_score, blue_score
1,frc4085,frc6181,frc4085,frc3777,frc3201,frc3173,108,50
2,frc6834,frc279,frc6834,frc5492,frc706,frc1317,62,68
3,frc7434,frc2603,frc7434,frc117,frc677,frc5413,74,121
4,frc4028,frc6032,frc4028,frc4027,frc4611,frc4283,79,66
5,frc3324,frc4467,frc3324,frc2081,frc3193,frc1511,99,121
6,frc7486,frc2783,frc7486,frc695,frc1014,frc3814,134,97
7,frc4269,frc4521,frc4269,frc3266,frc340,frc4145,66,96
8,frc8289,frc128,frc8289,frc6936,frc6927,frc8027,134,84
9,frc3138,frc1507,frc3138,frc325,frc554,frc1736,110,143
10,frc144,frc7515,frc144,frc379,frc4930,frc1559,101,69
11,frc7434,frc7486,frc7434,frc3193,frc706,frc6181,42,74
12,frc2603,frc1014,frc2603,frc4085,frc340,frc1787,84,121
13,frc4028,frc4284,frc4028,frc5811,frc6032,frc279,104,33
14,frc3814,frc3777,frc3814,frc3138,frc1317,frc329,86,76
15,frc4991,frc1038,frc4991,frc7515,frc3504,frc325,55,30
16,frc5492,frc4145,frc5492,frc4283,frc7460,frc5413,129,122
17,frc4027,frc2783,frc4027,frc4269,frc3173,frc6834,126,66
18,frc144,frc8027,frc144,frc554,frc4467,frc4611,48,131
19,frc4930,frc4521,frc4930,frc695,frc8289,frc2252,79,112
20,frc6927,frc3201,frc6927,frc117,frc3266,frc3324,102,142
21,frc325,frc6936,frc325,frc1317,frc1559,frc5811,33,173
22,frc3173,frc1787,frc3173,frc4991,frc128,frc5413,91,156
23,frc279,frc4085,frc279,frc5667,frc677,frc554,53,82
24,frc8027,frc706,frc8027,frc1511,frc6181,frc4521,56,76
25,frc4145,frc3324,frc4145,frc8289,frc329,frc2783,132,86
26,frc6834,frc1014,frc6834,frc7515,frc2081,frc117,91,111
27,frc7460,frc695,frc7460,frc1507,frc2603,frc3777,75,112
28,frc1736,frc144,frc1736,frc340,frc4028,frc1038,120,128
29,frc2252,frc5492,frc2252,frc6032,frc4027,frc3201,125,149
30,frc3504,frc4930,frc3504,frc3814,frc7486,frc4611,69,119
31,frc128,frc279,frc128,frc2783,frc7515,frc4283,118,94
32,frc4145,frc6936,frc4145,frc677,frc1787,frc6181,52,97
33,frc8027,frc1317,frc8027,frc1014,frc3173,frc3193,63,57
34,frc4085,frc3266,frc4085,frc329,frc2252,frc7460,135,104
35,frc5492,frc1507,frc5492,frc4611,frc4991,frc3138,80,61
36,frc5413,frc6032,frc5413,frc3324,frc4930,frc325,131,94
37,frc4467,frc3814,frc4467,frc706,frc1736,frc4269,116,86
38,frc3504,frc4521,frc3504,frc6927,frc4284,frc2081,89,27
39,frc1559,frc4027,frc1559,frc379,frc1038,frc7486,97,86
40,frc5667,frc695,frc5667,frc1511,frc5811,frc144,65,104
41,frc4611,frc5413,frc4611,frc7460,frc6834,frc4085,182,79
42,frc706,frc325,frc706,frc4269,frc1507,frc117,55,127
43,frc3193,frc1317,frc3193,frc4284,frc2252,frc1787,75,139
44,frc2783,frc677,frc2783,frc8027,frc3777,frc4991,90,63
45,frc4283,frc5811,frc4283,frc1038,frc6927,frc4467,110,30
46,frc3201,frc3138,frc3201,frc4521,frc6936,frc279,51,64
47,frc6181,frc379,frc6181,frc1511,frc4028,frc1559,159,132
48,frc144,frc554,frc144,frc2603,frc3266,frc5492,133,100
49,frc340,frc329,frc340,frc3504,frc7434,frc4027,125,97
50,frc4145,frc7515,frc4145,frc6032,frc1736,frc695,28,161
51,frc1038,frc8027,frc1038,frc1787,frc5413,frc4269,64,196
52,frc4930,frc3138,frc4930,frc3193,frc5811,frc2783,85,98
53,frc677,frc1511,frc677,frc7486,frc8289,frc144,133,57
54,frc554,frc7434,frc554,frc3777,frc3324,frc1014,87,37
55,frc117,frc3504,frc117,frc6181,frc7460,frc4467,175,104
56,frc1736,frc4283,frc1736,frc6936,frc379,frc3266,138,69
57,frc2603,frc4991,frc2603,frc329,frc3814,frc6032,96,121
58,frc4611,frc340,frc4611,frc7515,frc3201,frc128,129,52
59,frc2081,frc1559,frc2081,frc1507,frc5667,frc4145,176,116
60,frc4027,frc5492,frc4027,frc325,frc6927,frc695,90,43
61,frc1787,frc117,frc1787,frc554,frc7486,frc3777,136,85
62,frc8289,frc4085,frc8289,frc4467,frc7434,frc3266,74,98
63,frc3173,frc3814,frc3173,frc3324,frc7460,frc340,92,127
64,frc6181,frc1736,frc6181,frc4521,frc4611,frc2783,154,140
65,frc1317,frc1511,frc1317,frc1507,frc4028,frc7515,66,151
66,frc5413,frc3193,frc5413,frc279,frc144,frc3504,187,132
67,frc4991,frc4145,frc4991,frc4284,frc8027,frc1014,103,54
68,frc3138,frc695,frc3138,frc706,frc5667,frc6032,92,86
69,frc677,frc4269,frc677,frc128,frc2081,frc5492,78,191
70,frc1559,frc4283,frc1559,frc2252,frc6834,frc2603,100,156
71,frc279,frc3777,frc279,frc340,frc1736,frc6927,94,150
72,frc3173,frc1511,frc3173,frc1038,frc117,frc4145,165,77
73,frc4028,frc5413,frc4028,frc695,frc4467,frc706,124,77
74,frc1014,frc379,frc1014,frc677,frc5492,frc7460,57,122
75,frc128,frc3324,frc128,frc1559,frc6834,frc3504,107,106
76,frc5811,frc8289,frc5811,frc2252,frc6181,frc4991,67,44
77,frc3266,frc5667,frc3266,frc3814,frc325,frc1507,155,148
78,frc4269,frc329,frc4269,frc4284,frc4283,frc7486,88,43
79,frc6032,frc2081,frc6032,frc2783,frc4085,frc1317,37,87
80,frc3201,frc7434,frc3201,frc4930,frc2603,frc4027,114,90
81,frc6834,frc4991,frc6834,frc4521,frc3193,frc4028,89,109
82,frc1787,frc4611,frc1787,frc3266,frc279,frc1559,168,139
83,frc4467,frc325,frc4467,frc7486,frc4145,frc677,124,83
84,frc3777,frc2783,frc3777,frc6936,frc4284,frc1511,248,78
85,frc5811,frc2252,frc5811,frc379,frc3504,frc8027,144,110
86,frc1317,frc4027,frc1317,frc4283,frc128,frc4085,222,69
87,frc1014,frc554,frc1014,frc329,frc3173,frc4930,94,55
88,frc5413,frc3814,frc5413,frc2081,frc3201,frc8289,145,131
89,frc7460,frc4269,frc7460,frc6927,frc144,frc7434,72,87
90,frc3324,frc1038,frc3324,frc5667,frc3138,frc2603,81,106
