match_num, red1, red2, red3, blue1, blue2, blue3, red_score, blue_score
1,4085,6181,4085,3777,3201,3173,108,50
2,6834,279,6834,5492,706,1317,62,68
3,7434,2603,7434,117,677,5413,74,121
4,4028,6032,4028,4027,4611,4283,79,66
5,3324,4467,3324,2081,3193,1511,99,121
6,7486,2783,7486,695,1014,3814,134,97
7,4269,4521,4269,3266,340,4145,66,96
8,8289,128,8289,6936,6927,8027,134,84
9,3138,1507,3138,325,554,1736,110,143
10,144,7515,144,379,4930,1559,101,69
11,7434,7486,7434,3193,706,6181,42,74
12,2603,1014,2603,4085,340,1787,84,121
13,4028,4284,4028,5811,6032,279,104,33
14,3814,3777,3814,3138,1317,329,86,76
15,4991,1038,4991,7515,3504,325,55,30
16,5492,4145,5492,4283,7460,5413,129,122
17,4027,2783,4027,4269,3173,6834,126,66
18,144,8027,144,554,4467,4611,48,131
19,4930,4521,4930,695,8289,2252,79,112
20,6927,3201,6927,117,3266,3324,102,142
21,325,6936,325,1317,1559,5811,33,173
22,3173,1787,3173,4991,128,5413,91,156
23,279,4085,279,5667,677,554,53,82
24,8027,706,8027,1511,6181,4521,56,76
25,4145,3324,4145,8289,329,2783,132,86
26,6834,1014,6834,7515,2081,117,91,111
27,7460,695,7460,1507,2603,3777,75,112
28,1736,144,1736,340,4028,1038,120,128
29,2252,5492,2252,6032,4027,3201,125,149
30,3504,4930,3504,3814,7486,4611,69,119
31,128,279,128,2783,7515,4283,118,94
32,4145,6936,4145,677,1787,6181,52,97
33,8027,1317,8027,1014,3173,3193,63,57
34,4085,3266,4085,329,2252,7460,135,104
35,5492,1507,5492,4611,4991,3138,80,61
36,5413,6032,5413,3324,4930,325,131,94
37,4467,3814,4467,706,1736,4269,116,86
38,3504,4521,3504,6927,4284,2081,89,27
39,1559,4027,1559,379,1038,7486,97,86
40,5667,695,5667,1511,5811,144,65,104
41,4611,5413,4611,7460,6834,4085,182,79
42,706,325,706,4269,1507,117,55,127
43,3193,1317,3193,4284,2252,1787,75,139
44,2783,677,2783,8027,3777,4991,90,63
45,4283,5811,4283,1038,6927,4467,110,30
46,3201,3138,3201,4521,6936,279,51,64
47,6181,379,6181,1511,4028,1559,159,132
48,144,554,144,2603,3266,5492,133,100
49,340,329,340,3504,7434,4027,125,97
50,4145,7515,4145,6032,1736,695,28,161
51,1038,8027,1038,1787,5413,4269,64,196
52,4930,3138,4930,3193,5811,2783,85,98
53,677,1511,677,7486,8289,144,133,57
54,554,7434,554,3777,3324,1014,87,37
55,117,3504,117,6181,7460,4467,175,104
56,1736,4283,1736,6936,379,3266,138,69
57,2603,4991,2603,329,3814,6032,96,121
58,4611,340,4611,7515,3201,128,129,52
59,2081,1559,2081,1507,5667,4145,176,116
60,4027,5492,4027,325,6927,695,90,43
61,1787,117,1787,554,7486,3777,136,85
62,8289,4085,8289,4467,7434,3266,74,98
63,3173,3814,3173,3324,7460,340,92,127
64,6181,1736,6181,4521,4611,2783,154,140
65,1317,1511,1317,1507,4028,7515,66,151
66,5413,3193,5413,279,144,3504,187,132
67,4991,4145,4991,4284,8027,1014,103,54
68,3138,695,3138,706,5667,6032,92,86
69,677,4269,677,128,2081,5492,78,191
70,1559,4283,1559,2252,6834,2603,100,156
71,279,3777,279,340,1736,6927,94,150
72,3173,1511,3173,1038,117,4145,165,77
73,4028,5413,4028,695,4467,706,124,77
74,1014,379,1014,677,5492,7460,57,122
75,128,3324,128,1559,6834,3504,107,106
76,5811,8289,5811,2252,6181,4991,67,44
77,3266,5667,3266,3814,325,1507,155,148
78,4269,329,4269,4284,4283,7486,88,43
79,6032,2081,6032,2783,4085,1317,37,87
80,3201,7434,3201,4930,2603,4027,114,90
81,6834,4991,6834,4521,3193,4028,89,109
82,1787,4611,1787,3266,279,1559,168,139
83,4467,325,4467,7486,4145,677,124,83
84,3777,2783,3777,6936,4284,1511,248,78
85,5811,2252,5811,379,3504,8027,144,110
86,1317,4027,1317,4283,128,4085,222,69
87,1014,554,1014,329,3173,4930,94,55
88,5413,3814,5413,2081,3201,8289,145,131
89,7460,4269,7460,6927,144,7434,72,87
90,3324,1038,3324,5667,3138,2603,81,106
